complex,type_geo,type_comp,hard,hard_gw,standard,standard_gw,soft,DZ,TZ,QZ,5Z
1,HB,E,-0.06127849,-0.06109969,-0.06174807,-0.06189361,-0.06621172,-0.05945962795,-0.06071407345,-0.06098509898,-0.0610106777
2,HB,E,-0.1561878,-0.15547654,-0.16171367,-0.16090948,-0.17236639,-0.1547403416,-0.1538886248,-0.155474233,-0.1554524639
3,HB,E,-0.6639439,-0.66186799,-0.67715151,-0.6779139,-0.70884148,-0.6429536567,-0.6586633416,-0.6627885897,-0.6631986655
4,HB,E,-0.52834146,-0.52825835,-0.53518981,-0.53599053,-0.55935817,-0.5220098727,-0.524739176,-0.5284290417,-0.5285596565
5,HB,E,-0.70574424,-0.70370525,-0.71701166,-0.71708426,-0.75289318,-0.6950539618,-0.7025561445,-0.7056658632,-0.7058166143
6,HB,E,-0.45568318,-0.45254698,-0.45938727,-0.4604223,-0.48386569,-0.4469559362,-0.4522284169,-0.4544352614,-0.454568053
7,HB,E,-0.43687687,-0.43554555,-0.44075032,-0.44209504,-0.46644991,-0.4293790052,-0.4340661686,-0.4362185903,-0.436368253
8,sigma,D,0.01588116,0.01590235,0.01594469,0.01591491,0.01606141,0.01561607766,0.01592737606,0.01591023288,0.01589172913
9,pi_pi,D,0.03554472,0.03565083,0.03591069,0.03572748,0.03578002,0.03597863964,0.03594979556,0.03589891024,0.03589537276
10,others,D,0.05041438,0.05043654,0.05068861,0.05052421,0.05062807,0.05135716179,0.05085728839,0.05069048251,0.05070544878
11,pi_pi,D,0.23165253,0.23215266,0.23187443,0.23162862,0.23135238,0.2322199022,0.2323428977,0.2322541885,0.2321913302
12,pi_pi,D,0.17983424,0.18030686,0.18002481,0.17935442,0.1775339,0.1810039675,0.1808338963,0.1805805582,0.1805201489
13,pi_pi,M,0.00170868,0.00217277,0.00153902,0.00036486,-0.00291073,0.002435148097,0.002201674293,0.001912417122,0.001832143495
14,pi_pi,D,0.30446433,0.30496151,0.30479787,0.30448782,0.30427686,0.3060425228,0.3052985632,0.3052637326,0.3051889013
15,pi_pi,M,0.14206768,0.14278293,0.1415715,0.1402432,0.13656696,0.143805713,0.1428304564,0.1426339901,0.1425390224
16,others,M,-0.01917416,-0.01916823,-0.01848457,-0.01874649,-0.0182892,-0.01800088467,-0.01878647776,-0.01874566066,-0.01869613591
17,others,M,-0.04136826,-0.04098259,-0.04214606,-0.04229205,-0.04456156,-0.04238855679,-0.040591516,-0.04070063371,-0.0406848511
18,others,M,0.00732859,0.00749562,0.00757141,0.00730195,0.0066007,0.007975388933,0.00789810856,0.007725860404,0.007757425627
19,others,M,-0.08736191,-0.08745419,-0.08578685,-0.08697392,-0.08575923,-0.08457847037,-0.08670857869,-0.08637877653,-0.08631836722
20,others,D,0.06510578,0.06545471,0.06579703,0.06544702,0.06578453,0.06569784118,0.06560287339,0.06571716127,0.06573784193
21,others,M,0.0113028,0.01168351,0.01309972,0.01243851,0.01413148,0.01372951137,0.01210281393,0.01246935148,0.01248703889
22,others,M,-0.0814029,-0.08048439,-0.08727694,-0.08663286,-0.0995345,-0.07883876998,-0.07834678789,-0.07976667869,-0.07981484286
